commune;pop
Tanger-Tetouan-Al Hoceima;3 556 729
   Dont Centre: Afourar;13 185
   Dont Centre: Aghbala;6 745
   Dont Centre: Aghbalou Nssardane;2 300
   Dont Centre: Aguelmous;14 177
   Dont Centre: Ain Aicha;7 106
   Dont Centre: Ain Cheggag;10 124
   Dont Centre: Ain Dorij;3 394
   Dont Centre: Ain Jemaa;2 489
   Dont Centre: Ain Karma;4 920
   Dont Centre: Ain Leuh;4 969
   Dont Centre: Ait Amira;48 560
   Dont Centre: Ait Ishaq;12 179
   Dont Centre: Ait Yadine;7 242
   Dont Centre: Ajdir;1 445
   Dont Centre: Alnif;4 728
   Dont Centre: Aourir;35 365
   Dont Centre: Arbaoua;3 050
   Dont Centre: Assahrij ;2 011
   Dont Centre: Aufous;1 186
   Dont Centre: Bab Berred;4 977
   Dont Centre: Bab Taza;5 905
   Dont Centre: Belfaa ;4 750
   Dont Centre: Bni Chiker;4 444
   Dont Centre: Bni Hadifa;2 171
   Dont Centre: Bni Tadjite;8 489
   Dont Centre: Bni Yakhlef;17 970
   Dont Centre: Bouanane;3 329
   Dont Centre: Bouderbala;7 907
   Dont Centre: Bouguedra;1 948
   Dont Centre: Bouizazarene Ihaddadene;13 120
   Dont Centre: Boulanouare;12 756
   Dont Centre: Boumia;15 652
   Dont Centre: Bradia;8 316
   Dont Centre: Brikcha;1 167
   Dont Centre: Bzou;4 202
   Dont Centre: Dar Bni Karrich;6 430
   Dont Centre: Dar Chaoui;1 283
   Dont Centre: Dar El Kebdani ;3 608
   Dont Centre: Dar Ould Zidouh;11 491
   Dont Centre: Drargua ;50 946
   Dont Centre: El Kbab;8 345
   Dont Centre: Ezzhiliga;3 857
   Dont Centre: Foum Jemaa;5 824
   Dont Centre: Ghmate ;1 208
   Dont Centre: Gourrama;5 613
   Dont Centre: Guigou;10 129
   Dont Centre: Guisser;2 471
   Dont Centre: Had Bouhssoussen;3 049
   Dont Centre: Haj Kaddour;6 508
   Dont Centre: Hrara;1 271
   Dont Centre: Ighoud;1 826
   Dont Centre: Ighram Laalam;8 670
   Dont Centre: Issaguen;2 474
   Dont Centre: Itzer;5 896
   Dont Centre: Jebha;3 757
   Dont Centre: Kahf Nssar;7 163
   Dont Centre: Kantina;3 642
   Dont Centre: Karia;1 091
   Dont Centre: Kariat Arekmane;5 387
   Dont Centre: Kassita;2 675
   Dont Centre: Kerrouchen;2 053
   Dont Centre: Khemis Sahel;6 242
   Dont Centre: Khnichet;10 295
   Dont Centre: Kourouna;2 585
   Dont Centre: Laakarta;4 369
   Dont Centre: Laaounate;5 185
   Dont Centre: Lalla Mimouna;15 767
   Dont Centre: Lalla Takarkoust ;4 080
   Dont Centre: Laouamra;7 793
   Dont Centre: Loualidia;7 770
   Dont Centre: Loudaya ;12 615
   Dont Centre: Maaziz;8 901
   Dont Centre: Madagh;2 452
   Dont Centre: Massa;10 458
   Dont Centre: Matmata;2 400
   Dont Centre: Mers El Kheir;15 891
   Dont Centre: M'haya;5 819
   Dont Centre: Mirleft ;4 664
   Dont Centre: M'Nabha ;1 169
   Dont Centre: Moqrisset;1 634
   Dont Centre: Moulay Abdellah;12 456
   Dont Centre: Moulay Bouazza;5 269
   Dont Centre: Moulay Bousselham;7 372
   Dont Centre: Moulay Brahim ;3 115
   Dont Centre: N'zalat;1 144
   Dont Centre: Ouaouizeght;9 449
   Dont Centre: Ouaoumana;5 496
   Dont Centre: Oued El Heimer;1 282
   Dont Centre: Oulad Amrane;1 799
   Dont Centre: Oulad Frej;13 272
   Dont Centre: Oulad Ghadbane;6 152
   Dont Centre: Oulad M'Barek;10 843
   Dont Centre: Oulad Said;2 205
   Dont Centre: Oulad Yaich;9 671
   Dont Centre: Oulad Zbair;5 586
   Dont Centre: Ouled Tayeb ;14 187
   Dont Centre: Oulmes;11 145
   Dont Centre: Ounagha ;1 234
   Dont Centre: Ras E l Ain;3 614
   Dont Centre: Ras El Mae;20 463
   Dont Centre: Sebt Jahjouh;3 750
   Dont Centre: Sebt Lamaarif;1 834
   Dont Centre: Sid L'Mokhtar ;13 557
   Dont Centre: Sid Zouine ;12 837
   Dont Centre: Sidi Abdallah Ghiat ;1 701
   Dont Centre: Sidi Addi;4 217
   Dont Centre: Sidi Ahmed;7 126
   Dont Centre: Sidi Ali Ben Hamdouche;8 666
   Dont Centre: Sidi Allal Tazi;4 870
   Dont Centre: Sidi Bibi;6 162
   Dont Centre: Sidi Bouafif;3 350
   Dont Centre: Sidi Boubker;1 894
   Dont Centre: Sidi Bouzid;6 174
   Dont Centre: Sidi Jaber;4 671
   Dont Centre: Sidi Smail;5 565
   Dont Centre: Sidi TaŒbi;46 751
   Dont Centre: Sidi Yahya Zaer;10 006
   Dont Centre: Skhinate;3 509
   Dont Centre: Skhour Rehamna ;5 344
   Dont Centre: Skoura;2 271
   Dont Centre: Skoura;4 332
   Dont Centre: Smimou ;3 210
   Dont Centre: Souk L'had;2 723
   Dont Centre: Tabounte;31 072
   Dont Centre: Tafersit;3 137
   Dont Centre: Tafetachte ;1 271
   Dont Centre: Taghjijt;6 700
   Dont Centre: Tainaste;1 695
   Dont Centre: Talsint;9 079
   Dont Centre: Tamassint;1 831
   Dont Centre: Tamensourte ;25 077
   Dont Centre: Tameslohte ;9 093
   Dont Centre: Tamesna;28 119
   Dont Centre: Temsia;27 955
   Dont Centre: Tendrara;8 507
   Dont Centre: Thighza;1 786
   Dont Centre: Tiddas;3 520
   Dont Centre: Tighassaline;8 810
   Dont Centre: Timahdite;3 567
   Dont Centre: Tizi Ouasli;1 677
   Dont Centre: Tiztoutine ;4 784
   Dont Centre: Tnine Sidi Lyamani;1 058
   Dont Centre: Tounfite;8 169
   Dont Centre: Zaida;7 172
   Dont Centre: Zaouiat Bougrine;4 112
   Dont Centre: Zirara;8 000
   Dont Centre: Zoualet;10 060
   Dont Centre: Zoumi;4 438
   Dont Centre: Zrarda;4 188
Aarab Sebbah Gheris;4 397
Aarab Sebbah Ziz;19 192
Abadou;10 602
Abaynou;2 422
Abbou Lakhal;2 017
Abdelghaya Souahel;25 817
Abteh;264
Adaghas;2 825
Adar;4 344
Adassil;7 454
Aday;3 005
Adis;6 511
Adrej;1 709
Afalla Issen;8 129
Afella Ighir;2 973
Afella N'Dra;7 203
Aferkat;1 460
Afourar;21 382
Afra;8 939
Afsou;2 932
Agadir (Mun.);421 844
Agadir Melloul;8 848
Agafay;15 452
Agdal (Arrond.);142 407
Agdal Riyad (Arrond.);77 257
Agdz (Mun.);10 681
Aghbal;14 908
Aghbala;12 781
Aghbalou;9 547
Aghbalou Aqorar;9 715
Aghbalou N'Kerdous;10 313
Aghbar;5 182
Aghouatim;30 776
Aghouinite;pm
Aglif;8 028
Agoudi N'Lkhair;11 752
Agoudim;4 113
Agourai (Mun.);16 651
Aguelmam Azegza;7 684
Aguelmous;35 626
Aguerd;5 378
Aguinane;2 801
Ahdil;11 438
Ahfir (Mun.);19 630
Ahl Angad;14 196
Ahl Oued Za;11 931
Ahl Ramel;8 132
Ahl Sidi Lahcen;4 287
Ahl Tifnoute;5 910
Ahlaf;11 451
Ahmar Laglalcha;17 950
Ain Aicha;25 417
Ain Attig (Mun.);25 078
Ain Beida;11 978
Ain Bida;7 843
Ain Blal;4 699
Ain Bni Mathar (Mun.);16 289
Ain Bou Ali;12 282
